Pais,Region,Provincia,Comarca,Zona,Pueblo,Nombre de la ruta,Categoria,Dificultad,Descripcion dificultad,Distancia Total,Altitud minima,Altitud máxima,Desnivel acumulado,Tiempo total efectivo,Punto de salida / llegada,Población más cercana,Link archivo,Pdf_path,Fecha
Andorra,Parroquia de Andorra la Vella,Andorra la Vella,,,,Bony de la Pica (2.402m) desde la Margineda,Rutas circulares;Ascensiones media montaña;Paisajes pintorescos;Patrimonio histórico,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","24,6 km",947,2.402,1.625m,9:00h,Calle Mayor de Santa Coloma,Santa Coloma,https://www.rutaspirineos.org/rutas/bony-de-la-pica-margineda-sispony-andorra,True,11/11/2025
Andorra,Parroquia de Andorra la Vella,Andorra la Vella,,,,Camino de Prat Primer y bosque de la Caülla,Rutas circulares;Flora y fauna,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"8,7 km",1.340,2.235,950m,3:50h,Merendero de la Comella,Andorra la Vella,https://www.rutaspirineos.org/rutas/cami-de-prat-primer-i-bosc-de-la-caulla-comella,True,11/11/2025
Andorra,Parroquia de Andorra la Vella,Andorra la Vella,,,,Itinerario del Rec del Solà,Paisajes pintorescos;Familias y niños,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","4,4 km",1.080,1.122,50m,1:25h,Final calle de Les Canals,Andorra la Vella,https://www.rutaspirineos.org/rutas/rec-del-sola-andorra-la-vella,C:\Users\jessi\OneDrive\Escritorio\MÁSTER-UOC\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\download_pdf\RUTAS-PIRINEOS-rec-del-sola-andorra-la-vella_es.pdf,11/11/2025
Andorra,Parroquia de Canillo,Canillo,,,,Camino circular de la parroquia de Canillo,"Paisajes pintorescos;Patrimonio histórico;Lagos, ríos y cascadas;Rutas circulares",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"29,4 km",1.440,2.040,1.920m,9:00h,Iglesia de Santa Creu - Canillo,Canillo,https://www.rutaspirineos.org/rutas/cami-circular-de-la-parroquia-de-canillo,True,11/11/2025
Andorra,Parroquia de Canillo,Valle de Incles,,,,Lagos de Juclar y pico de Escobes (2.779m),"Lagos, ríos y cascadas;Ascensiones alta montaña",Alta (PD),"Rutas de alta montaña con trepadas en terreno expuesto y de cierta dificultad, aunque en general hay buenos agarres para cogerse. Posibilidad de aristas y crestas estrechas y aéreas. El uso de la cuerda puede hacerse necesario en más de una ocasión. Pendientes de 40-45°.","13,7 km",1.835,2.779,1.030m,5:45h,Puente de la Baladosa,Soldeu,https://www.rutaspirineos.org/rutas/estanys-de-juclar-pic-escobes-vall-incles,True,11/11/2025
Andorra,Parroquia de Canillo,Ransol,,,,Lagos de Ransol y pico de la Serrera (2.913m),"Lagos, ríos y cascadas;Rutas circulares;Ascensiones alta montaña",Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","10,6 km",1.944,2.913,1.010m,4:15h,Final carretera Coma de Ransol,Ransol,https://www.rutaspirineos.org/rutas/pic-de-la-serrera-canillo-vall-de-ransol,True,11/11/2025
Andorra,Parroquia de Canillo,,,,,GRP - Etapa 4: Bordes d'Envalira - Refugio de Juclà,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","8,5 km",2.000,2.585,+850m / -550m,4:30h,,,https://www.rutaspirineos.org/rutas/grp-andorra-etapa-04-bordes-envalira-refugio-de-jucla,True,11/11/2025
Andorra,Parroquia de Canillo,,,,,GRP - Etapa 5: Refugio de Juclà - Refugio Borda de Sorteny,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","16,5 km",1.970,2.720,+1.400m / -1.700m,7:20h,,,https://www.rutaspirineos.org/rutas/grp-andorra-etapa-05-refugio-de-jucla-refugio-borda-de-sorteny,True,11/11/2025
Andorra,Parroquia de Encamp,Pas de la Casa,,,,Lago de las Abelletes y picos de Envalira (2.823m y 2.818m),"Lagos, ríos y cascadas;Ascensiones alta montaña",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"7,9 km",2.823,2.125,740m,3:00h,Aparcamiento de las Abelletes,Pas de la Casa,https://www.rutaspirineos.org/rutas/estany-abelletes-i-pics-envalira-pas-de-la-casa,True,11/11/2025
Andorra,Parroquia de Encamp,Encamp,,,,Lagos de Ensagents y Alt del Griu (2.879m),"Lagos, ríos y cascadas;Rutas circulares;Ascensiones alta montaña",Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","10,2 km",1.907,2.879,1.015m,5:10h,"Carretera de Cortals - km 6,2",Encamp,https://www.rutaspirineos.org/rutas/estanys-ensagents-alt-del-griu-encamp,True,11/11/2025
Andorra,Parroquia de Encamp,Grau Roig,,,,Lagos y circo de Pessons,"Lagos, ríos y cascadas;Paisajes pintorescos;Familias y niños;Rutas circulares",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,11 km,2.103,2.605,530m,4:00h,Estación de esquí de Grau Roig,Bordes de Envalira,https://www.rutaspirineos.org/rutas/estanys-y-circ-de-pessons,True,11/11/2025
Andorra,Parroquia de Encamp,Grau Roig,,,,Pico de Montmalús (2.781m) y circo de los Colells,"Paisajes pintorescos;Lagos, ríos y cascadas;Rutas circulares;Ascensiones alta montaña",Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","10,4 km",2.100,2.781,875m,4:00h,Parking El Cubil - Grau Roig,Soldeu,https://www.rutaspirineos.org/rutas/pic-montmalus-circ-colells-grau-roig,True,11/11/2025
Francia,Languedoc-Rosellón,Pirineos Orientales,Alta Cerdaña,Porté-Puymorens,,Pico de Pedrons (2.715m) desde la frontera Andorra-Francia,Ascensiones alta montaña;Raquetas de nieve,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.",8 km,1.896,2.715,825m,3:45h,Curva aduana Andorra-Francia,Porté-Puymorens,https://www.rutaspirineos.org/rutas/pico-de-pedrons-desde-la-frontera-andorra-francia,True,11/11/2025
Andorra,Parroquia de Encamp,,,,,GR 11 - Etapa 14: Refugio de l'Illa - Encamp,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"16,0 km",1.270,2.480,+225m / -1.435m,4:15h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-14-refugio-illa-encamp,True,11/11/2025
Andorra,Parroquia de Encamp,,,,,GRP - Etapa 3: Refugio de l'Illa - Bordes d'Envalira,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","11,5 km",2.000,2.830,+450m / -950m,4:10h,,,https://www.rutaspirineos.org/rutas/grp-andorra-etapa-03-refugio-de-illa-bordes-envalira,True,11/11/2025
Andorra,Parroquia de Escaldes-Engordany,Escaldes-Engordany,,,,Itinerario del Valle del Madriu,"Paisajes pintorescos;Lagos, ríos y cascadas;Patrimonio histórico",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"22,8 km",1.235,2.480,1.350m,7:00h,Carretera de la Plana,Escaldes-Engordany,https://www.rutaspirineos.org/rutas/vall-de-madriu-andorra,True,11/11/2025
Andorra,Parroquia de Escaldes-Engordany,Escaldes-Engordany,,,,Lago de Engolasters y camino de las Pardines,"Familias y niños;Lagos, ríos y cascadas;Flora y fauna",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"13,8 km",1.496,1.644,250m,3:40h,Sant Miquel de Engolasters,Escaldes-Engordany,https://www.rutaspirineos.org/rutas/estany-engolasters-cami-de-les-pardines-andorra,True,11/11/2025
Andorra,Parroquia de Escaldes-Engordany,Escaldes-Engordany,,,,Lago de la Nou y valles de Claror y Perafita,"Lagos, ríos y cascadas;Rutas circulares",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"12,9 km",1.235,2.280,1.150m,4:20h,Carretera de la Plana,Escaldes-Engordany,https://www.rutaspirineos.org/rutas/estany-de-la-nou-refugi-claror-perafita,True,11/11/2025
Andorra,Parroquia de Escaldes-Engordany,,,,,GRP - Etapa 2: Refugio de Claror - Refugio de l'Illa,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.",11 km,2.035,2.490,+775m / -525m,4:50h,,,https://www.rutaspirineos.org/rutas/grp-andorra-etapa-02-refugio-de-claror-refugio-de-illa,True,11/11/2025
Andorra,Parroquia de la Massana,Arinsal,,,,Camino de Percanela - Les Fonts - Pla del Estany,Rutas circulares;Patrimonio histórico,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"9,1 km",1.475,2.060,600m,4:10h,Arinsal,Arinsal,https://www.rutaspirineos.org/rutas/cami-de-percanela-les-fonts-pla-de-estany,True,11/11/2025
Andorra,Parroquia de la Massana,La Massana,,,,De la Massana al collado del Estall por el camino del Solà,Familias y niños;Rutas circulares;Flora y fauna,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"8,9 km",1.221,1.921,815m,3:15h,Oficina de Turismo,La Massana,https://www.rutaspirineos.org/rutas/la-massana-aldosa-cami-del-sola-cortals-anyos-collada-estall,True,11/11/2025
Andorra,Parroquia de la Massana,Arinsal,,,,Pico de Comapedrosa (2.942m) desde Arinsal,"Ascensiones alta montaña;Lagos, ríos y cascadas;Rutas circulares",Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","14,3 km",1.575,2.942,1.380m,6:05h,Arinsal - Prats Sobirans,Arinsal,https://www.rutaspirineos.org/rutas/pic-de-comapedrosa-arinsal-andorra,True,11/11/2025
Andorra,Parroquia de la Massana,,,,,GRP - Etapa 7: Refugio de Comapedrosa - Aixovall,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","21,5 km",930,2.588,+1.150m / -2.450m,9:15h,,,https://www.rutaspirineos.org/rutas/grp-andorra-etapa-07-refugio-de-comapedrosa-aixovall,True,11/11/2025
Andorra,Parroquia de Ordino,El Serrat,,,,Lago y pico del Estanyó (2.915m),"Lagos, ríos y cascadas;Ascensiones alta montaña;Flora y fauna",Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","11,7 km",1.783,2.915,1.175m,4:45h,La Canya de la Rabassa,El Serrat,https://www.rutaspirineos.org/rutas/estany-i-pic-de-estanyo-ordino-andorra,True,11/11/2025
Andorra,Parroquia de Ordino,El Serrat,,,,Pico de Cataperdís (2.806m) y pico de Arcalís (2.776m),Rutas circulares;Ascensiones alta montaña;Crestas y corredores,Alta (PD),"Rutas de alta montaña con trepadas en terreno expuesto y de cierta dificultad, aunque en general hay buenos agarres para cogerse. Posibilidad de aristas y crestas estrechas y aéreas. El uso de la cuerda puede hacerse necesario en más de una ocasión. Pendientes de 40-45°.",5 km,2.360,2.806,580m,3:40h,Túnel del Port de Rat (Arcalís),El Serrat,https://www.rutaspirineos.org/rutas/pico-de-cataperdis-y-pico-de-arcalis,True,11/11/2025
Andorra,Parroquia de Ordino,El Serrat,,,,Pico de la Serrera (2.913m) por el valle de Sorteny,Rutas circulares;Ascensiones alta montaña,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","12,7 km",1.783,2.913,1.135m,6:30h,La Canya de la Rabassa,El Serrat,https://www.rutaspirineos.org/rutas/pic-de-la-serrera-ordino-vall-de-sorteny,True,11/11/2025
Andorra,Parroquia de Ordino,Ordino,,,,Picos de Casamanya desde el collado de Ordino,Ascensiones alta montaña;Flora y fauna,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"8,7 km",1.974,2.749,890m,3:10h,Collado de Ordino,Ordino,https://www.rutaspirineos.org/rutas/pics-de-casamanya-ordino-andorra,True,11/11/2025
Andorra,Parroquia de Ordino,Llorts,,,,Ruta del Hierro (Llorts-La Cortinada),Familias y niños;Patrimonio histórico,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","7,6 km",1.330,1.431,101m,2:10h,Mina de Llorts / La Cortinada,Llorts,https://www.rutaspirineos.org/rutas/ruta-del-ferro-a-ordino-llorts-la-cortinada,True,11/11/2025
Andorra,Parroquia de Ordino,,,,,GR 11 - Etapa 15: Encamp - Arans,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,5 km",1.270,1.983,+1.275m / -1.190m,4:45h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-15-encamp-arans,True,11/11/2025
Andorra,Parroquia de Ordino,,,,,GR 11 - Etapa 16: Arans - Refugio de Baiau,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","12,5 km",1.355,2.757,+2.100m / -938m,5:45h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-16-arans-refugio-baiau,True,11/11/2025
Andorra,Parroquia de Ordino,,,,,GRP - Etapa 6: Refugio Borda de Sorteny - Refugio de Comapedrosa,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","20,5 km",1.410,2.586,+1.850m / -1.575m,9:55h,,,https://www.rutaspirineos.org/rutas/grp-andorra-etapa-06-refugio-borda-de-sorteny-refugio-de-comapedrosa,True,11/11/2025
Andorra,Parroquia de Sant Julià de Lòria,Sant Julià de Lòria,,,,Iglesia de Sant Serni de Nagol en Sant Julià de Lòria,Familias y niños;Patrimonio histórico,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","1,4 km",1.034,1.142,105m,0:40h,Parque infantil Terra Bogada,San Julián de Loria,https://www.rutaspirineos.org/rutas/iglesia-de-sant-serni-de-nagol-en-san-julian-de-loria,True,11/11/2025
Andorra,Parroquia de Sant Julià de Lòria,Sant Julià de Lòria,,,,Tomb Lauredià Corto de Sant Julià de Lòria,Familias y niños;Patrimonio histórico;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","3,4 km",900,1.155,300m,1:20h,Plaza de la Germandat,Sant Julià de Lòria,https://www.rutaspirineos.org/rutas/tomb-lauredia-curt-sant-julia-de-loria-andorra,True,11/11/2025
Andorra,Parroquia de Sant Julià de Lòria,Sant Julià de Lòria,,,,Tomb Lauredià Largo de Sant Julià de Lòria,Patrimonio histórico;Rutas circulares;Paisajes pintorescos,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,1 km",892,1.311,1.400m,6:15h,Plaza de la Germandat,Sant Julià de Lòria,https://www.rutaspirineos.org/rutas/tomb-lauredia-llarg-sant-julia-de-loria-andorra,True,11/11/2025
Andorra,Parroquia de Sant Julià de Lòria,Sant Julià de Lòria,,,,Tomb Lauredià Medio de Sant Julià de Lòria,"Rutas circulares;Patrimonio histórico;Paisajes pintorescos;Lagos, ríos y cascadas",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,8 km,885,1.180,680m,3:00h,Plaza de la Germandat,Sant Julià de Lòria,https://www.rutaspirineos.org/rutas/tomb-lauredia-mitja-sant-julia-de-loria-andorra,True,11/11/2025
Andorra,Parroquia de Sant Julià de Lòria,,,,,GRP - Etapa 1: Aixovall - Refugio de Claror,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","20,5 km",900,2.643,+2.200m / -850m,9:20h,,,https://www.rutaspirineos.org/rutas/grp-andorra-etapa-01-aixovall-refugio-de-claror,True,11/11/2025
España,Aragón,Huesca,Alto Gállego,Valle de Tena,Sallent de Gállego,Camino Natural del embalse de Lanuza,"Familias y niños;Lagos, ríos y cascadas",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","6,5 km",1.261,1.294,85m,1:50h,Puente sobre el río Gállego,Sallent de Gállego,https://www.rutaspirineos.org/rutas/embalse-de-lanuza-en-sallent-de-gallego,True,11/11/2025
España,Aragón,Huesca,Alto Gállego,Valle de Tena,Sallent de Gállego,Mirador de San Mamés en Sallent de Gállego,"Familias y niños;Lagos, ríos y cascadas",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","0,7 km",1.281,1.312,37m,0:20h,Puente de la Plaza,Sallent de Gállego,https://www.rutaspirineos.org/rutas/mirador-san-mames-en-sallent-de-gallego,True,11/11/2025
España,Aragón,Huesca,Alto Gállego,Valle de Tena,Sallent de Gállego,Paseo hasta El Salto en Sallent de Gállego,"Familias y niños;Lagos, ríos y cascadas",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","2,2 km",1.286,1.346,84m,0:40h,Final paseo Fermín Arrudi,Sallent de Gállego,https://www.rutaspirineos.org/rutas/el-salto-en-sallent-de-gallego,True,11/11/2025
España,Aragón,Huesca,Alto Gállego,Valle de Tena,Panticosa,Picos del Infierno (3.073m-3.082m-3.076m) desde el balneario de Panticosa,Rutas circulares;Ascensiones alta montaña;Crestas y corredores;Cimas de 3.000m,Alta (PD),"Rutas de alta montaña con trepadas en terreno expuesto y de cierta dificultad, aunque en general hay buenos agarres para cogerse. Posibilidad de aristas y crestas estrechas y aéreas. El uso de la cuerda puede hacerse necesario en más de una ocasión. Pendientes de 40-45°.","16,6 km",1.637,3.082,+753m | +844m / -1.597m,2:45h | 7:15h,Refugio Casa de Piedra,Panticosa,https://www.rutaspirineos.org/rutas/circular-picos-del-infierno-desde-el-balneario-de-panticosa,True,11/11/2025
España,Aragón,Huesca,La Jacetania,Valles de Ansó y Hecho,Ansó,Bosque de Gamueta desde el refugio de Linza,Familias y niños;Rutas circulares;Flora y fauna,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"7,5 km",1.286,1.497,415m,2:25h,Refugio de Linza,Ansó,https://www.rutaspirineos.org/rutas/bosque-de-gamueta-desde-el-refugio-de-linza,True,11/11/2025
España,Aragón,Huesca,La Ribagorza,Valle de Benasque,Benasque,Forau y cascada de Aigualluts,Familias y niños;Paisajes pintorescos;Rutas circulares,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7 km,1.900,2.280,400m,3:00h,La Besurta,Benasque,https://www.rutaspirineos.org/rutas/forau-de-aigualluts-refugio-renclusa-desde-la-besurta,True,11/11/2025
España,Aragón,Huesca,La Ribagorza,Valle de Benasque,Benasque,Ibones de Villamuerta desde la Besurta,"Lagos, ríos y cascadas;Familias y niños",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","2,8 km",1.900,2.081,185m,1:45h,La Besurta,Benasque,https://www.rutaspirineos.org/rutas/ibones-de-villamuerta-besurta-benasque,True,11/11/2025
España,Aragón,Huesca,La Ribagorza,Valle de Benasque,Benasque,Maladeta Oriental (3.308m) y pico Abadías (3.271m) por la Renclusa,Ascensiones alta montaña;Crestas y corredores;Cimas de 3.000m,Alta (PD),"Rutas de alta montaña con trepadas en terreno expuesto y de cierta dificultad, aunque en general hay buenos agarres para cogerse. Posibilidad de aristas y crestas estrechas y aéreas. El uso de la cuerda puede hacerse necesario en más de una ocasión. Pendientes de 40-45°.","12,5 km",1.920,3.308,+960m | +625m/-1.550m,2:40h | 5:45h,La Besurta,Benasque,https://www.rutaspirineos.org/rutas/pico-maladeta-oriental-y-pico-abadias,True,11/11/2025
España,Aragón,Huesca,La Ribagorza,Valle de Benasque,Eriste,Posets (3.375m) por el refugio Ángel Orús,Ascensiones alta montaña;Cimas de 3.000m,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.",16 km,1.550,3.375,+600m | +1.275m/-1.875m,1:45h | 8:00h,Párking puente de Espigantosa,Eriste,https://www.rutaspirineos.org/rutas/posets-por-refugio-angel-orus,True,11/11/2025
España,Aragón,Huesca,La Ribagorza,Valle de Benasque,Eriste,Posets (3.375m) por la cresta de Espadas,Ascensiones alta montaña;Crestas y corredores;Cimas de 3.000m,Alta (PD+),Rutas de alta montaña con trepadas (nociones de escalada) generalmente con generosos agarres. La cuerda puede ser necesaria.,"17,5 km",1.550,3.375,+600m | +1.450m / -2.050m,1:45h | 10:15h,Párking puente de Espigantosa,Eriste,https://www.rutaspirineos.org/rutas/cresta-de-espadas-al-posets,True,11/11/2025
España,Aragón,Huesca,La Ribagorza,Valle de Barrabés (Huesca),Aneto,Vallibierna (3.067m) y Culebras (3.062m) por Llauset,Rutas circulares;Crestas y corredores;Cimas de 3.000m;Ascensiones alta montaña,Alta (F+),"Rutas de alta montaña con trepadas fáciles y con buenos agarres, por lo que es necesario usar las manos para progresar.",12 km,2.200,3.067,900m,5:35h,Embalse de Llauset,Aneto y Senet de Barrabés,https://www.rutaspirineos.org/rutas/pico-de-vallibierna-y-tuca-de-culebras-desde-llauset,True,11/11/2025
España,Aragón,Huesca,Sobrarbe,Valle de Pineta,Bielsa,Cascada del Cinca y cascadas de Lalarri,"Lagos, ríos y cascadas;Paisajes pintorescos;Familias y niños;Rutas circulares",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7 km,1.279,1.690,500m,4:10h,Aparcamiento del valle de Pienta,Bielsa,https://www.rutaspirineos.org/rutas/cascadas-del-cinca-y-cascadas-de-lalarri,True,11/11/2025
España,Aragón,Huesca,Sobrarbe,Valle de Ordesa,Torla,Circular a la Cola de Caballo por la Faja de Pelay,"Paisajes pintorescos;Lagos, ríos y cascadas;Rutas circulares",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"20,1 km",1.305,1.977,890m,6:45h,Pradera de Ordesa,Torla,https://www.rutaspirineos.org/rutas/circular-cola-de-caballo-por-faja-de-pelay,True,11/11/2025
España,Aragón,Huesca,Sobrarbe,Valle de Ordesa,Torla,Cola de Caballo por las gradas de Soaso,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"17,5 km",1.305,1.755,500m,5:40h,Pradera de Ordesa,Torla,https://www.rutaspirineos.org/rutas/cola-de-caballo-por-las-gradas-de-soaso,True,11/11/2025
España,Aragón,Huesca,Sobrarbe,Valle de Ordesa,Torla,Paseo por San Nicolás de Bujaruelo,"Familias y niños;Lagos, ríos y cascadas;Rutas circulares;Flora y fauna",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","3,4 km",1.338,1.372,55m,0:50h,Refugio de Bujaruelo,Torla,https://www.rutaspirineos.org/rutas/paseo-por-bujaruelo,True,11/11/2025
España,Aragón,Huesca,Sobrarbe,Valle de Escuaín,Tella-Sin,Ruta de las ermitas de Tella,Familias y niños;Patrimonio histórico;Rutas circulares,Baja,"Paseos cortos, con poco desnivel y sin dificultades.","2,3 km",1.339,1.396,80m,1:00h,Iglesia de San Martín de Tella,Tella,https://www.rutaspirineos.org/rutas/ruta-de-las-ermitas-tella-gargantas-escuain-ordesa,True,11/11/2025
