route_id,pais,region,provincia,comarca,zona,pueblo,nombre_ruta,categoria,dificultad,descripcion_dificultad,distancia_total,altitud_minima,altitud_maxima,desnivel_acumulado,Tiempo_total,Punto_salida_llegada,poblacion_cercana,link_archivo,pdf_path,fecha,distancia_total_km,altitud_minima_m,altitud_maxima_m,desnivel_acumulado_pos,desnivel_acumulado_neg,tiempo_total_min,dificultad_org,pais_org,region_org,provincia_org,comarca_org,zona_org,pueblo_org,nombre_ruta_org,Punto_salida_llegada_org,poblacion_cercana_org,categoria_org
144,espana,cataluna,lerida,val daran,baish aran,bausen,el hayedo de carlac en bausen,paisajes pintorescos;familias y ninos;rutas circulares;flora y fauna,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"6,5 km",894.0,1.223,350m,2:30h,bausen,bausen,https://www.rutaspirineos.org/rutas/la-fageda-de-carlac-bausen,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-la-fageda-de-carlac-bausen_es.pdf,11/11/2025,6.5,894.0,1223.0,350.0,,150.0,Media,España,Cataluña,Lérida,Val d'Aran,Baish Aran,Bausen,El hayedo de Carlac en Bausen,Bausen,Bausen,paisajes pintorescos;familias y ninos;rutas circulares;flora y fauna
145,espana,navarra,navarra montana,cuencas prepirenaicas,cuenca de aoizlumbier,lumbier,la foz de lumbier paseo corto,paisajes pintorescos;familias y ninos;lagos;rios y cascadas;flora y fauna,baja,"Paseos cortos, con poco desnivel y sin dificultades.","3,6 km",430.0,440.0,20m,1:00h,aparcamiento foz de lumbier,lumbier,https://www.rutaspirineos.org/rutas/la-foz-de-lumbier-paseo-corto,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-la-foz-de-lumbier-paseo-corto_es.pdf,11/11/2025,3.6,430.0,440.0,20.0,,60.0,Baja,España,Navarra,Navarra Montaña,Cuencas Prepirenaicas,Cuenca de Aoiz-Lumbier,Lumbier,La Foz de Lumbier (paseo corto),Aparcamiento Foz de Lumbier,Lumbier,paisajes pintorescos;familias y ninos;lagos;rios y cascadas;flora y fauna
146,espana,cataluna,lerida,pallars sobira,baix pallars,gerri de la sal,la geganta adormida itinerario historico por el pla de corts,paisajes pintorescos;familias y ninos;patrimonio historico;rutas circulares,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"14,6 km",806.0,1.066,486m,4:05h,peramea,peramea,https://www.rutaspirineos.org/rutas/la-geganta-adormida-peramea-pla-de-corts-montcortes,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-la-geganta-adormida-peramea-pla-de-corts-montcortes_es.pdf,11/11/2025,14.6,806.0,1066.0,486.0,,245.0,Notable,España,Cataluña,Lérida,Pallars Sobirá,Baix Pallars,Gerri de la Sal,"La Geganta Adormida, itinerario histórico por el Pla de Corts",Peramea,Peramea,paisajes pintorescos;familias y ninos;patrimonio historico;rutas circulares
147,andorra,parroquia de la massana,la massana,,,,de la massana al collado del estall por el camino del sola,familias y ninos;rutas circulares;flora y fauna,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"8,9 km",1.221,1.921,815m,3:15h,oficina de turismo,la massana,https://www.rutaspirineos.org/rutas/la-massana-aldosa-cami-del-sola-cortals-anyos-collada-estall,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-la-massana-aldosa-cami-del-sola-cortals-anyos-collada-estall_es.pdf,11/11/2025,8.9,1221.0,1921.0,815.0,,195.0,Notable,Andorra,Parroquia de la Massana,La Massana,,,,De la Massana al collado del Estall por el camino del Solà,Oficina de Turismo,La Massana,familias y ninos;rutas circulares;flora y fauna
148,espana,cataluna,lerida,val daran,vielhamijaran,es bordes,la mina victoria y el lago de arres,patrimonio historico;familias y ninos;rutas circulares,baja,"Paseos cortos, con poco desnivel y sin dificultades.","5,5 km",1.309,1.556,382m,2:05h,arres de sus,arres,https://www.rutaspirineos.org/rutas/la-mina-victoria-arres-de-sus,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-la-mina-victoria-arres-de-sus_es.pdf,11/11/2025,5.5,1309.0,1556.0,382.0,,125.0,Baja,España,Cataluña,Lérida,Val d'Aran,Vielha-Mijaran,Es Bòrdes,La mina Victoria y el lago de Arres,Arres de Sus,Arres,patrimonio historico;familias y ninos;rutas circulares
149,espana,cataluna,gerona,garrotxa,alta garrotxa,la vall de bianya,la atalaya sobre la via annia en la garrotxa,familias y ninos;patrimonio historico;rutas circulares;ascensiones media montana,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,8 km,365.0,793.0,450m,2:30h,hostalnou de bianya,la vall de bianya,https://www.rutaspirineos.org/rutas/la-talaia-sobre-la-via-annia,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-la-talaia-sobre-la-via-annia_es.pdf,11/11/2025,8.0,365.0,793.0,450.0,,150.0,Media,España,Cataluña,Gerona,Garrotxa,Alta Garrotxa,La Vall de Bianya,La atalaya sobre la Via Annia en la Garrotxa,Hostalnou de Bianya,La Vall de Bianya,familias y ninos;patrimonio historico;rutas circulares;ascensiones media montana
150,espana,cataluna,lerida,pallars sobira,el valle de assua y el batlliu de sort,rialp,el valle de assua tierra de pastores,paisajes pintorescos;patrimonio historico;rutas circulares,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"17,4 km",721.0,1.412,1.074m,5:50h,plaza de les escoles,rialp,https://www.rutaspirineos.org/rutas/la-vall-d-assua-des-de-rialp,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-la-vall-d-assua-des-de-rialp_es.pdf,11/11/2025,17.4,721.0,1412.0,1074.0,,350.0,Notable,España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Rialp,"El valle de Àssua, tierra de pastores",Plaza de Les Escoles,Rialp,paisajes pintorescos;patrimonio historico;rutas circulares
151,espana,cataluna,lerida,solsones,vall de lord y sierra de busa,naves,de la vall dora al pla de busa y sant pere de graudescales,paisajes pintorescos;patrimonio historico;rutas circulares,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"13,4 km",745.0,1.35,750m,3:45h,monumento a guifre el pilos,naves,https://www.rutaspirineos.org/rutas/la-vall-d-ora-pla-de-busa-sant-pere-de-graudescales,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-la-vall-d-ora-pla-de-busa-sant-pere-de-graudescales_es.pdf,11/11/2025,13.4,745.0,1.35,750.0,,225.0,Notable,España,Cataluña,Lérida,Solsonés,Vall de Lord y sierra de Busa,Navès,De la Vall d'Ora al Pla de Busa y Sant Pere de Graudescales,Monumento a Guifré el Pilós,Navès,paisajes pintorescos;patrimonio historico;rutas circulares
152,espana,cataluna,lerida,cerdana lerida,valle de la cerdana lerida,lles de cerdana,la vall de la llosa,paisajes pintorescos;lagos;rios y cascadas,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"13,3 km",1.6,2.068,536m,3:45h,cal jan de la llosa,viliella,https://www.rutaspirineos.org/rutas/la-vall-de-la-llosa-cerdanya,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-la-vall-de-la-llosa-cerdanya_es.pdf,11/11/2025,13.3,1.6,2068.0,536.0,,225.0,Media,España,Cataluña,Lérida,Cerdaña (Lérida),Valle de la Cerdaña (Lérida),Lles de Cerdaña,La Vall de la Llosa,Cal Jan de la Llosa,Viliella,paisajes pintorescos;lagos;rios y cascadas
153,espana,cataluna,barcelona,bergueda,alto llobregat,la pobla de lillet,la vuelta al catllaras,patrimonio historico;rutas circulares,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"17,1 km",839.0,1.695,1.014m,4:45h,la pobla de lillet,la pobla de lillet,https://www.rutaspirineos.org/rutas/la-volta-al-catllaras-bergueda,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-la-volta-al-catllaras-bergueda_es.pdf,11/11/2025,17.1,839.0,1695.0,1014.0,,285.0,Notable,España,Cataluña,Barcelona,Berguedá,Alto Llobregat,La Pobla de Lillet,La vuelta al Catllarás,La Pobla de Lillet,La Pobla de Lillet,patrimonio historico;rutas circulares
154,francia,mediodiapirineos,altos pirineos,valle de cauterets,cauterets,,lago de gaube desde pont despagne,familias y ninos;lagos;rios y cascadas,baja,"Paseos cortos, con poco desnivel y sin dificultades.","5,2 km",1.49,1.731,255m,1:30h,pont despagne,cauterets,https://www.rutaspirineos.org/rutas/lago-de-gaube,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-lago-de-gaube_es.pdf,11/11/2025,5.2,1.49,1731.0,255.0,,90.0,Baja,Francia,Mediodía-Pirineos,Altos Pirineos,Valle de Cauterets,Cauterets,,Lago de Gaube desde Pont d'Espagne,Pont d'Espagne,Cauterets,familias y ninos;lagos;rios y cascadas
155,francia,mediodiapirineos,altos pirineos,valle de cauterets,cauterets,,lago de gaube y circo de oulettes de gaube,paisajes pintorescos;lagos;rios y cascadas,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"17,2 km",1.49,2.149,750m,5:20h,pont despagne,cauterets,https://www.rutaspirineos.org/rutas/lago-de-gaube-y-circo-de-oulettes,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-lago-de-gaube-y-circo-de-oulettes_es.pdf,11/11/2025,17.2,1.49,2149.0,750.0,,320.0,Notable,Francia,Mediodía-Pirineos,Altos Pirineos,Valle de Cauterets,Cauterets,,Lago de Gaube y circo de Oulettes de Gaube,Pont d'Espagne,Cauterets,paisajes pintorescos;lagos;rios y cascadas
156,espana,cataluna,barcelona,bergueda,alto llobregat,castellar de n hug,las fuentes del llobregat,lagos;rios y cascadas;familias y ninos,baja,"Paseos cortos, con poco desnivel y sin dificultades.",2 km,1.27,1.372,102m,0:45h,castellar de nhug,castellar de nhug,https://www.rutaspirineos.org/rutas/las-fuentes-del-llobregat-en-castellar-de-nhug,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-las-fuentes-del-llobregat-en-castellar-de-nhug_es.pdf,11/11/2025,2.0,1.27,1372.0,102.0,,45.0,Baja,España,Cataluña,Barcelona,Berguedá,Alto Llobregat,Castellar de n´Hug,Las fuentes del Llobregat,Castellar de n'Hug,Castellar de n'Hug,lagos;rios y cascadas;familias y ninos
157,espana,cataluna,lerida,pallars jussa,conca de tremp y terreta,la torre de tamurcia,sierra de sant gervas el portus y la avedoga dadons,ascensiones media montana;paisajes pintorescos;patrimonio historico,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"13,5 km",950.0,1.839,1.000m,5:30h,pista a espluga de serra,la torre de tamurcia,https://www.rutaspirineos.org/rutas/lo-portus-avedoga-adons-desde-la-torre-de-tamurcia,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-lo-portus-avedoga-adons-desde-la-torre-de-tamurcia_es.pdf,11/11/2025,13.5,950.0,1839.0,1000.0,,330.0,Notable,España,Cataluña,Lérida,Pallars Jussá,Conca de Tremp y Terreta,La Torre de Tamúrcia,Sierra de Sant Gervàs: el Portús y la Avedoga d'Adons,Pista a Espluga de Serra,La Torre de Tamúrcia,ascensiones media montana;paisajes pintorescos;patrimonio historico
158,espana,cataluna,lerida,pallars sobira,el valle de assua y el batlliu de sort,sort,virgen de arbolo y gerri de la sal desde sort,patrimonio historico;lagos;rios y cascadas,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,3 km",585.0,817.0,+461m / -544m,5:00h,hotel les brases  sort,sort,https://www.rutaspirineos.org/rutas/mare-de-deu-arbolo-gerri-de-la-sal-sort,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-mare-de-deu-arbolo-gerri-de-la-sal-sort_es.pdf,12/11/2025,15.3,585.0,817.0,461.0,-544.0,300.0,Notable,España,Cataluña,Lérida,Pallars Sobirá,El Valle de Àssua y el Batlliu de Sort,Sort,Virgen de Arboló y Gerri de la Sal desde Sort,Hotel Les Brases - Sort,Sort,patrimonio historico;lagos;rios y cascadas
159,francia,languedocrosellon,pirineos orientales,alta cerdana,angoustrine,,mare de deu de belllloc desde dorres,familias y ninos;patrimonio historico;rutas circulares,baja,"Paseos cortos, con poco desnivel y sin dificultades.","4,9 km",1.44,1.68,250m,1:35h,plaza principal de dorres,dorres,https://www.rutaspirineos.org/rutas/mare-de-deu-de-bell-lloc-desde-dorres,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-mare-de-deu-de-bell-lloc-desde-dorres_es.pdf,11/11/2025,4.9,1.44,1.68,250.0,,95.0,Baja,Francia,Languedoc-Rosellón,Pirineos Orientales,Alta Cerdaña,Angoustrine,,Mare de Déu de Bell-lloc desde Dorres,Plaza principal de Dorres,Dorres,familias y ninos;patrimonio historico;rutas circulares
160,espana,cataluna,gerona,bajo ampurdan,ardenyacadiretes bajo ampurdan,sant feliu de guixols,macizo de la ardenya desde sant feliu de guixols,paisajes pintorescos;rutas circulares;lagos;rios y cascadas,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"17,5 km",3.0,373.0,480m,4:50h,oficina de turismo,sant feliu de guixols,https://www.rutaspirineos.org/rutas/massis-de-ardenya-des-de-sant-feliu-de-guixols,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-massis-de-ardenya-des-de-sant-feliu-de-guixols_es.pdf,11/11/2025,17.5,3.0,373.0,480.0,,290.0,Notable,España,Cataluña,Gerona,Bajo Ampurdán,Ardenya-Cadiretes (Bajo Ampurdán),Sant Feliu de Guíxols,Macizo de la Ardenya desde Sant Feliu de Guíxols,Oficina de Turismo,Sant Feliu de Guíxols,paisajes pintorescos;rutas circulares;lagos;rios y cascadas
161,espana,cataluna,gerona,el ripolles,bajo ripolles y montgrony,les llosses,matamala y les llosses por antiguos caminos de herradura,rutas circulares;familias y ninos;patrimonio historico,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"8,8 km",900.0,1.104,225m,2:30h,santa maria de matamala,les llosses,https://www.rutaspirineos.org/rutas/matamala-i-les-llosses-per-antics-camins-de-ferradura,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-matamala-i-les-llosses-per-antics-camins-de-ferradura_es.pdf,11/11/2025,8.8,900.0,1104.0,225.0,,150.0,Media,España,Cataluña,Gerona,El Ripollés,Bajo Ripollés y Montgrony,Les Llosses,Matamala y Les Llosses por antiguos caminos de herradura,Santa Maria de Matamala,Les Llosses,rutas circulares;familias y ninos;patrimonio historico
162,francia,aquitania,pirineos atlanticos,valle de ossau,larunsartouste,,midi dossau 2884m por la via normal,ascensiones alta montana;paisajes pintorescos,alta,Rutas de alta montaña con trepadas (nociones de escalada) generalmente con generosos agarres. La cuerda puede ser necesaria.,15 km,1.715,2.884,+537m/-97m | +831m/-1.271m,2:20h | 6:20h,aparcamiento de aneou,artoustefabreges,https://www.rutaspirineos.org/rutas/midi-d-ossau-por-refugio-pombie,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-midi-d-ossau-por-refugio-pombie_es.pdf,11/11/2025,15.0,1715.0,2884.0,537.0,-1271.0,140.0,Alta (PD+),Francia,Aquitania,Pirineos Atlánticos,Valle de Ossau,Laruns-Artouste,,Midi d'Ossau (2.884m) por la vía normal,Aparcamiento de Anéou,Artouste-Fabrèges,ascensiones alta montana;paisajes pintorescos
163,espana,cataluna,gerona,garrotxa,la comarca de olot,vall de bas,el mirador de la vall den bas,patrimonio historico;lagos;rios y cascadas;rutas circulares,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"10,9 km",604.0,1.28,725m,3:15h,area pla den xurri,sant privat den bas,https://www.rutaspirineos.org/rutas/mirador-de-la-vall-en-bas-santa-magdalena-del-mont-les-olletes,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-mirador-de-la-vall-en-bas-santa-magdalena-del-mont-les-olletes_es.pdf,11/11/2025,10.9,604.0,1.28,725.0,,195.0,Notable,España,Cataluña,Gerona,Garrotxa,La comarca de Olot,Vall de Bas,El mirador de la Vall d'en Bas,Área Pla d'en Xurri,Sant Privat d'en Bas,patrimonio historico;lagos;rios y cascadas;rutas circulares
164,espana,cataluna,lerida,pallars sobira,valle de cardos,esterri de cardos,mirador del cap de la roca en esterri de cardos,familias y ninos;paisajes pintorescos,baja,"Paseos cortos, con poco desnivel y sin dificultades.","3,6 km",1.195,1.23,40m,1:00h,esterri de cardos,esterri de cardos,https://www.rutaspirineos.org/rutas/mirador-del-cap-de-la-roca-en-esterri-de-cardos,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-mirador-del-cap-de-la-roca-en-esterri-de-cardos_es.pdf,11/11/2025,3.6,1195.0,1.23,40.0,,60.0,Baja,España,Cataluña,Lérida,Pallars Sobirá,Valle de Cardós,Esterri de Cardós,Mirador del Cap de la Roca en Esterri de Cardós,Esterri de Cardós,Esterri de Cardós,familias y ninos;paisajes pintorescos
165,espana,aragon,huesca,alto gallego,valle de tena,sallent de gallego,mirador de san mames en sallent de gallego,familias y ninos;lagos;rios y cascadas,baja,"Paseos cortos, con poco desnivel y sin dificultades.","0,7 km",1.281,1.312,37m,0:20h,puente de la plaza,sallent de gallego,https://www.rutaspirineos.org/rutas/mirador-san-mames-en-sallent-de-gallego,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-mirador-san-mames-en-sallent-de-gallego_es.pdf,11/11/2025,0.7,1281.0,1312.0,37.0,,20.0,Baja,España,Aragón,Huesca,Alto Gállego,Valle de Tena,Sallent de Gállego,Mirador de San Mamés en Sallent de Gállego,Puente de la Plaza,Sallent de Gállego,familias y ninos;lagos;rios y cascadas
166,espana,aragon,huesca,sobrarbe,valle de escuain,tellasin,sendero de los miradores de revilla en las gargantas de escuain,familias y ninos;flora y fauna;rutas circulares;patrimonio historico,baja,"Paseos cortos, con poco desnivel y sin dificultades.","4,5 km",1.195,1.362,200m,1:35h,curva carretera antes de revilla,revilla,https://www.rutaspirineos.org/rutas/miradores-de-revilla-angones-gargantas-de-escuain,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-miradores-de-revilla-angones-gargantas-de-escuain_es.pdf,11/11/2025,4.5,1195.0,1362.0,200.0,,95.0,Baja,España,Aragón,Huesca,Sobrarbe,Valle de Escuaín,Tella-Sin,Sendero de los miradores de Revilla en las Gargantas de Escuaín,Curva carretera antes de Revilla,Revilla,familias y ninos;flora y fauna;rutas circulares;patrimonio historico
167,espana,cataluna,lerida,pallars jussa,pobla de segur y conca de dalt,la pobla de segur,monasterio de sant pere de les maleses,familias y ninos;patrimonio historico;rutas circulares,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,9 km,530.0,710.0,400m,2:35h,font de la figuereta,la pobla de segur,https://www.rutaspirineos.org/rutas/monasterio-de-sant-pere-de-les-maleses-collegats,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-monasterio-de-sant-pere-de-les-maleses-collegats_es.pdf,11/11/2025,9.0,530.0,710.0,400.0,,155.0,Media,España,Cataluña,Lérida,Pallars Jussá,Pobla de Segur y Conca de Dalt,La Pobla de Segur,Monasterio de Sant Pere de les Maleses,Font de la Figuereta,La Pobla de Segur,familias y ninos;patrimonio historico;rutas circulares
168,espana,cataluna,lerida,pallars sobira,las valls daneu,alos de isil,mont valier 2838m y pico de la pala clavera 2721m,rutas circulares;ascensiones alta montana,alta,"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","22,5 km",1.475,2.838,+1.600m/-830m | +880m/-1.650m,5:20h | 5:45h,puente de perosa,alos disil,https://www.rutaspirineos.org/rutas/mont-valier-petit-mont-valier-y-pico-de-la-pala-clavera,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-mont-valier-petit-mont-valier-y-pico-de-la-pala-clavera_es.pdf,11/11/2025,22.5,1475.0,2838.0,1600.0,-1650.0,320.0,Alta (F),España,Cataluña,Lérida,Pallars Sobirá,Las Valls d'Àneu,Alós de Isil,Mont Valier (2.838m) y pico de la Pala Clavera (2.721m),Puente de Perosa,Alós d'Isil,rutas circulares;ascensiones alta montana
169,espana,cataluna,lerida,alta ribagorza,valle de boi,boi,montardo 2833m y montardo petit 2781m por cavallers,ascensiones alta montana;raquetas de nieve,alta,"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.",19 km,1.73,2.883,+435m | +650m/-1.050m,2:15h | 5:35h,embalse de cavallers,caldes de boi,https://www.rutaspirineos.org/rutas/montardo-y-petit-montardo-por-cavallers,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-montardo-y-petit-montardo-por-cavallers_es.pdf,11/11/2025,19.0,1.73,2883.0,435.0,-1050.0,135.0,Alta (F),España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Montardo (2.833m) y Montardo Petit (2.781m) por Cavallers,Embalse de Cavallers,Caldes de Boí,ascensiones alta montana;raquetas de nieve
170,espana,cataluna,barcelona,bajo llobregat,sant llorenc del munt i lobac  el cairat,sant llorenc savall,el montcau 1056 m desde el marquet de les roques,patrimonio historico;rutas circulares;ascensiones media montana,media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,8 km,544.0,1.056,+ 645 m / - 645 m,4:10 h,parquin marquet de les roques,sant llorenc savall,https://www.rutaspirineos.org/rutas/montcau-marquet-de-les-roques,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-montcau-marquet-de-les-roques_es.pdf,11/11/2025,8.0,544.0,1056.0,645.0,,250.0,Media,España,Cataluña,Barcelona,Bajo Llobregat,Sant Llorenç del Munt i l'Obac - El Cairat,Sant Llorenç Savall,El Montcau (1.056 m) desde el Marquet de les Roques,Parquin Marquet de les Roques,Sant Llorenç Savall,patrimonio historico;rutas circulares;ascensiones media montana
171,espana,cataluna,gerona,el ripolles,valle de ribes y nuria,queralbs,la olla de nuria,ascensiones alta montana;rutas circulares;crestas y corredores,alta,Excursiones exigentes de alta montaña con desniveles y distancias importantes.,21 km,1.96,2.913,1.800m,8:35h,entrada al santuario de nuria,queralbs,https://www.rutaspirineos.org/rutas/olla-de-nuria-vall-de-nuria-ripolles,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-olla-de-nuria-vall-de-nuria-ripolles_es.pdf,11/11/2025,21.0,1.96,2913.0,1800.0,,515.0,Alta,España,Cataluña,Gerona,El Ripollés,Valle de Ribes y Nuria,Queralbs,La Olla de Núria,Entrada al santuario de Núria.,Queralbs,ascensiones alta montana;rutas circulares;crestas y corredores
172,espana,cataluna,barcelona,bergueda,alto llobregat,sant julia de cerdanyola,la olla de sant julia de cerdanyola,paisajes pintorescos;rutas circulares,alta,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,6 km",939.0,1.658,1.021m,5:05h,parada de autobus,sant julia de cerdanyola,https://www.rutaspirineos.org/rutas/olla-de-sant-julia-de-cerdanyola-bergueda,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-olla-de-sant-julia-de-cerdanyola-bergueda_es.pdf,11/11/2025,15.6,939.0,1658.0,1021.0,,305.0,Notable,España,Cataluña,Barcelona,Berguedá,Alto Llobregat,Sant Julià de Cerdanyola,La Olla de Sant Julià de Cerdanyola,Parada de autobús,Sant Julià de Cerdanyola,paisajes pintorescos;rutas circulares
173,espana,cataluna,gerona,alto ampurdan,cabo de creus,cadaques,paseo por el paraje de tudela,paisajes pintorescos;familias y ninos;lagos;rios y cascadas,baja,"Paseos cortos, con poco desnivel y sin dificultades.","5,6 km",5.0,66.0,150m,1:15h,valla paraje de tudela,cadaques,https://www.rutaspirineos.org/rutas/paratge-de-tudela-cap-de-creus,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-paratge-de-tudela-cap-de-creus_es.pdf,11/11/2025,5.6,5.0,66.0,150.0,,75.0,Baja,España,Cataluña,Gerona,Alto Ampurdán,Cabo de Creus,Cadaqués,Paseo por el Paraje de Tudela,Valla Paraje de Tudela,Cadaqués,paisajes pintorescos;familias y ninos;lagos;rios y cascadas
174,francia,aquitania,pirineos atlanticos,sola soulezuberoa,tardetssorholus,,la pasarela de holzarte y las gargantas de olhadubi,paisajes pintorescos;familias y ninos;lagos;rios y cascadas,baja,"Paseos cortos, con poco desnivel y sin dificultades.","4,2 km",408.0,580.0,225m,1:30h,puente de la mouline logibar,larrau,https://www.rutaspirineos.org/rutas/pasarela-de-holzarte,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-pasarela-de-holzarte_es.pdf,11/11/2025,4.2,408.0,580.0,225.0,,90.0,Baja,Francia,Aquitania,Pirineos Atlánticos,Sola (Soule-Zuberoa),Tardets-Sorholus,,La pasarela de Holzarté y las gargantas de Olhadubi,Puente de la Mouline (Logibar),Larrau,paisajes pintorescos;familias y ninos;lagos;rios y cascadas
