route_id,pais,region,provincia,comarca,zona,pueblo,nombre_ruta,categoria,dificultad,descripcion_dificultad,distancia_total,altitud_minima,altitud_maxima,desnivel_acumulado,Tiempo_total,Punto_salida_llegada,poblacion_cercana,link_archivo,pdf_path,fecha
86,España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Lagos de Gémena en el valle de Llubriqueto,"Paisajes pintorescos;Lagos, ríos y cascadas",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"9,3 km",1.497,2.3,803m,5:25h,Aparcamiento de Toirigo,Boí,https://www.rutaspirineos.org/rutas/estanys-de-gemena-en-el-valle-de-llubriqueto,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estanys-de-gemena-en-el-valle-de-llubriqueto_es.pdf,11/11/2025
87,Andorra,Parroquia de Canillo,Valle de Incles,,,,Lagos de Juclar y pico de Escobes (2.779m),"Lagos, ríos y cascadas;Ascensiones alta montaña",Alta (PD),"Rutas de alta montaña con trepadas en terreno expuesto y de cierta dificultad, aunque en general hay buenos agarres para cogerse. Posibilidad de aristas y crestas estrechas y aéreas. El uso de la cuerda puede hacerse necesario en más de una ocasión. Pendientes de 40-45°.","13,7 km",1.835,2.779,1.030m,5:45h,Puente de la Baladosa,Soldeu,https://www.rutaspirineos.org/rutas/estanys-de-juclar-pic-escobes-vall-incles,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estanys-de-juclar-pic-escobes-vall-incles_es.pdf,11/11/2025
88,España,Cataluña,Lérida,Cerdaña (Lérida),Valle de la Cerdaña (Lérida),Lles de Cerdaña,Estanys de la Pera desde Pollineres,"Familias y niños;Rutas circulares;Lagos, ríos y cascadas",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","5,4 km",2.14,2.39,275m,1:50h,Fuente de las Pollineres,Lles de Cerdaña,https://www.rutaspirineos.org/rutas/estanys-de-la-pera-pollineres-lles-cerdanya,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estanys-de-la-pera-pollineres-lles-cerdanya_es.pdf,11/11/2025
89,España,Cataluña,Gerona,Cerdaña (Gerona),Valle de la Cerdaña (Gerona),Meranges,Ruta al lago de Malniu,"Familias y niños;Lagos, ríos y cascadas",Baja,"Paseos cortos, con poco desnivel y sin dificultades.",3 km,2.126,2.25,140m,1:20h,Refugio de Malniu,Meranges,https://www.rutaspirineos.org/rutas/estanys-del-malniu-cerdanya-meranges,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estanys-del-malniu-cerdanya-meranges_es.pdf,11/11/2025
90,España,Cataluña,Lérida,Alta Ribagorza,Valle de Boí,Boí,Lagos del Pessó desde el puente de la Ribera,"Lagos, ríos y cascadas;Paisajes pintorescos",Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"9,2 km",1.692,2.493,800m,6:00h,Pont de la Ribera,Taüll,https://www.rutaspirineos.org/rutas/estanys-del-pesso-vall-de-sant-marti-boi,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estanys-del-pesso-vall-de-sant-marti-boi_es.pdf,11/11/2025
91,Andorra,Parroquia de Encamp,Encamp,,,,Lagos de Ensagents y Alt del Griu (2.879m),"Lagos, ríos y cascadas;Rutas circulares;Ascensiones alta montaña",Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","10,2 km",1.907,2.879,1.015m,5:10h,"Carretera de Cortals - km 6,2",Encamp,https://www.rutaspirineos.org/rutas/estanys-ensagents-alt-del-griu-encamp,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estanys-ensagents-alt-del-griu-encamp_es.pdf,11/11/2025
92,Andorra,Parroquia de Encamp,Grau Roig,,,,Lagos y circo de Pessons,"Lagos, ríos y cascadas;Paisajes pintorescos;Familias y niños;Rutas circulares",Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,11 km,2.103,2.605,530m,4:00h,Estación de esquí de Grau Roig,Bordes de Envalira,https://www.rutaspirineos.org/rutas/estanys-y-circ-de-pessons,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-estanys-y-circ-de-pessons_es.pdf,11/11/2025
93,España,Cataluña,Gerona,Alto Ampurdán,Cabo de Creus,Cadaqués,Faro de Cala Nans desde Cadaqués,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas",Baja,"Paseos cortos, con poco desnivel y sin dificultades.",5 km,13.0,86.0,180m,1:20h,Hotel Rocamar,Cadaqués,https://www.rutaspirineos.org/rutas/far-de-cala-nans-des-de-cadaques,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-far-de-cala-nans-des-de-cadaques_es.pdf,11/11/2025
94,España,Cataluña,Gerona,El Ripollés,Valle de Camprodón,Llanars,La fuente de las Dous per los llanos de Espinalba y de Abella,Rutas circulares;Familias y niños;Paisajes pintorescos,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,"11,2 km",982.0,1.42,525m,3:40h,Puente del Molí de Llanars,Llanars,https://www.rutaspirineos.org/rutas/font-de-les-dous-espinalba-abella-llanars,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-font-de-les-dous-espinalba-abella-llanars_es.pdf,11/11/2025
95,España,Aragón,Huesca,La Ribagorza,Valle de Benasque,Benasque,Forau y cascada de Aigualluts,Familias y niños;Paisajes pintorescos;Rutas circulares,Media,Caminatas de distancia y desnivel moderados que no superan los 14 km de largo ni los 600m de desnivel.,7 km,1.9,2.28,400m,3:00h,La Besurta,Benasque,https://www.rutaspirineos.org/rutas/forau-de-aigualluts-refugio-renclusa-desde-la-besurta,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-forau-de-aigualluts-refugio-renclusa-desde-la-besurta_es.pdf,11/11/2025
96,España,Cataluña,Barcelona,Berguedá,Sierra de Ensija,Fígols,Gallina Pelada (2.317m) por Peguera,Rutas circulares;Ascensiones media montaña;Raquetas de nieve,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.",13 km,1.58,2.317,800m,5:15h,Collado de la Creu de Fumanya,Fígols,https://www.rutaspirineos.org/rutas/gallina-pelada-por-peguera,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gallina-pelada-por-peguera_es.pdf,11/11/2025
97,Francia,Aquitania,Pirineos Atlánticos,Sola (Soule-Zuberoa),Tardets-Sorholus,,Las gargantas de Kakueta - Gorges de Kakuetta,"Paisajes pintorescos;Familias y niños;Lagos, ríos y cascadas",Baja,"Paseos cortos, con poco desnivel y sin dificultades.","4,1 km",430.0,520.0,100m,2:00h,"Bar ""La Cascade""",Urdatx-Santa Grazi (St.-Engrâce),https://www.rutaspirineos.org/rutas/gorges-de-kakuetta,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gorges-de-kakuetta_es.pdf,11/11/2025
98,Francia,Languedoc-Rosellón,Pirineos Orientales,Vallespir,Arles de Tec,,Las gargantas de la Fou (Gorges de la Fou),"Familias y niños;Lagos, ríos y cascadas;Flora y fauna",Baja,"Paseos cortos, con poco desnivel y sin dificultades.",3 km,344.0,470.0,157m,1:45h,Aparcamiento Gorges de la Fou,Arles de Tec,https://www.rutaspirineos.org/rutas/gorges-de-la-fou-arles-sur-tech,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gorges-de-la-fou-arles-sur-tech_es.pdf,11/11/2025
99,España,Cataluña,Gerona,Alto Ampurdán,Cabo de Creus,,GR 11 - Etapa 01: Cabo de Creus - El Puerto de la Selva,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,5 km",5.0,190.0,+550m / -565m,4:00h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-01-cabo-de-creus-puerto-de-la-selva,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-01-cabo-de-creus-puerto-de-la-selva_es.pdf,11/11/2025
100,España,Cataluña,Gerona,Alto Ampurdán,Cabo de Creus,,GR 11 - Etapa 02: El Puerto de la Selva - Vilamaniscle,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"21,1 km",5.0,515.0,+925m / -775m,6:00h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-02-puerto-de-la-selva-vilamaniscle,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-02-puerto-de-la-selva-vilamaniscle_es.pdf,11/11/2025
101,España,Cataluña,Gerona,Alto Ampurdán,Las Salinas y la Albera,,GR 11 - Etapa 03: Vilamaniscle - Requesens,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"29,0 km",100.0,700.0,+990m / -645m,8:30h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-03-vilamaniscle-requesens,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-03-vilamaniscle-requesens_es.pdf,11/11/2025
102,España,Cataluña,Gerona,Alto Ampurdán,Las Salinas y la Albera,,GR 11 - Etapa 04: Requesens - La Vajol,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"24,5 km",105.0,768.0,+ 915m / - 869m,7:00h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-04-requesens-la-vajol,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-04-requesens-la-vajol_es.pdf,11/11/2025
103,España,Cataluña,Gerona,Alto Ampurdán,Las Salinas y la Albera,,GR 11 - Etapa 05: La Vajol - Albanyà,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"25,5 km",220.0,703.0,+850m / -1.159m,7:40h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-05-la-vajol-albanya,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-05-la-vajol-albanya_es.pdf,11/11/2025
104,España,Cataluña,Gerona,Garrotxa,Alta Garrotxa,,GR 11 - Etapa 06: Albanyà - Sant Aniol d'Aguja,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"16,8 km",220.0,1.128,+975m / -769m,5:30h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-06-albanya-sant-aniol-aguja,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-06-albanya-sant-aniol-aguja_es.pdf,11/11/2025
105,España,Cataluña,Gerona,Garrotxa,Alta Garrotxa,,GR 11 - Etapa 07: Sant Aniol d'Aguja - Beget,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,5 km",367.0,755.0,+850m / -762m,4:50h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-07-sant-aniol-aguja-beget,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-07-sant-aniol-aguja-beget_es.pdf,11/11/2025
106,España,Cataluña,Gerona,El Ripollés,Valle de Camprodón,,GR 11 - Etapa 08: Beget - Setcases,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"23,0 km",531.0,1.865,+1.600m / -861m,6:50h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-08-beget-setcases,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-08-beget-setcases_es.pdf,11/11/2025
107,España,Cataluña,Gerona,El Ripollés,Valle de Camprodón,,GR 11 - Etapa 09: Setcases - Santuario de Nuria,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","19,5 km",1.27,2.826,+1.750m / -1.060m,6:40h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-09-setcases-santuario-de-nuria,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-09-setcases-santuario-de-nuria_es.pdf,11/11/2025
108,España,Cataluña,Gerona,El Ripollés,Valle de Ribes y Nuria,,GR 11 - Etapa 10: Santuario de Nuria - Planoles,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"17,5 km",1.145,1.986,+840m / -1.655m,5:45h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-10-santuario-de-nuria-planoles,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-10-santuario-de-nuria-planoles_es.pdf,11/11/2025
109,España,Cataluña,Gerona,El Ripollés,Valle de Ribes y Nuria,,GR 11 - Etapa 11: Planoles - Puigcerdá,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"27,5 km",1.124,2.005,+1.025m / -1.030m,7:25h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-11-planoles-puigcerda,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-11-planoles-puigcerda_es.pdf,11/11/2025
110,España,Cataluña,Gerona,Cerdaña (Gerona),Valle de la Cerdaña (Gerona),,GR 11 - Etapa 12: Puigcerdá - Refugio de Malniu,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,0 km",1.14,2.21,+1.100m / -110m,4:15h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-12-puigcerda-refugio-del-malniu,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-12-puigcerda-refugio-del-malniu_es.pdf,11/11/2025
111,España,Cataluña,Gerona,Cerdaña (Gerona),Valle de la Cerdaña (Gerona),,GR 11 - Etapa 13: Refugio de Malniu - Refugio del Illa,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.",15 km,2.09,2.691,+1.200m / -850m,5:20h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-13-refugio-malniu-refugio-illa,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-13-refugio-malniu-refugio-illa_es.pdf,11/11/2025
112,Andorra,Parroquia de Encamp,,,,,GR 11 - Etapa 14: Refugio de l'Illa - Encamp,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"16,0 km",1.27,2.48,+225m / -1.435m,4:15h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-14-refugio-illa-encamp,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-14-refugio-illa-encamp_es.pdf,11/11/2025
113,Andorra,Parroquia de Ordino,,,,,GR 11 - Etapa 15: Encamp - Arans,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,5 km",1.27,1.983,+1.275m / -1.190m,4:45h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-15-encamp-arans,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-15-encamp-arans_es.pdf,11/11/2025
114,Andorra,Parroquia de Ordino,,,,,GR 11 - Etapa 16: Arans - Refugio de Baiau,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","12,5 km",1.355,2.757,+2.100m / -938m,5:45h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-16-arans-refugio-baiau,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-16-arans-refugio-baiau_es.pdf,11/11/2025
115,España,Cataluña,Lérida,Pallars Sobirá,Vall Ferrera,,GR 11 - Etapa 17: Refugio de Baiau - Àreu,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"15,4 km",1.225,2.517,+60m / -1.352m,4:00h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-17-refugio-baiau-areu,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-17-refugio-baiau-areu_es.pdf,11/11/2025
116,España,Cataluña,Lérida,Pallars Sobirá,Vall Ferrera,,GR 11 - Etapa 18: Àreu - Tavascan,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"16,6 km",1.12,2.239,+1.100m / -1.205m,5:00h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-18-areu-tavascan,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-18-areu-tavascan_es.pdf,11/11/2025
117,España,Cataluña,Lérida,Pallars Sobirá,Valle de Cardós,,GR 11 - Etapa 19: Tavascan - Estaon,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"11,9 km",1.12,1.843,+850m / -715m,4:15h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-19-tavascan-estaon,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-19-tavascan-estaon_es.pdf,11/11/2025
118,España,Cataluña,Lérida,Pallars Sobirá,Las Valls d'Àneu,,GR 11 - Etapa 20: Estaon - La Guingueta d'Àneu,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"11,8 km",941.0,2.221,+975m / -1.289m,4:15h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-20-estaon-guingueta-aneu,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-20-estaon-guingueta-aneu_es.pdf,11/11/2025
119,España,Cataluña,Lérida,Pallars Sobirá,Las Valls d'Àneu,,GR 11 - Etapa 21: La Guingueta d'Àneu - Sant Maurici Refugio Mallafré,Rutas por etapas y GRs,Notable,Excursiones más exigentes o bien porque son más largas o con mayor desnivel o con alguna dificultad concreta.,"17,5 km",941.0,1.893,+1.190m / -238m,5:30h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-21-guingueta-aneu-sant-maurici-refugio-mallafre,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-21-guingueta-aneu-sant-maurici-refugio-mallafre_es.pdf,11/11/2025
120,España,Cataluña,Lérida,Pallars Sobirá,Las Valls d'Àneu,,GR 11 - Etapa 22: Refugio Mallafré - Refugio de Colomers,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","12,5 km",1.87,2.594,+800m / -555m,4:15h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-22-refugio-mallafre-refugio-colomers,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-22-refugio-mallafre-refugio-colomers_es.pdf,11/11/2025
121,España,Cataluña,Lérida,Val d'Aran,Vielha-Mijaran,,GR 11 - Etapa 23: Refugio de Colomers - Refugio dera Restanca,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","7,5 km",2.01,2.567,+555m / -685m,4:30h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-23-refugio-colomers-refugio-restanca,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-23-refugio-colomers-refugio-restanca_es.pdf,11/11/2025
122,España,Cataluña,Lérida,Val d'Aran,Vielha-Mijaran,,GR 11 - Etapa 24: Refugio dera Restanca - Refugio de Conangles,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","11,4 km",1.555,2.344,+525m / -980m,4:15h,,,https://www.rutaspirineos.org/rutas/gr-11-transpirenaica-etapa-24-refugio-restanca-refugio-conangles,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-gr-11-transpirenaica-etapa-24-refugio-restanca-refugio-conangles_es.pdf,11/11/2025
123,Andorra,Parroquia de Sant Julià de Lòria,,,,,GRP - Etapa 1: Aixovall - Refugio de Claror,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","20,5 km",900.0,2.643,+2.200m / -850m,9:20h,,,https://www.rutaspirineos.org/rutas/grp-andorra-etapa-01-aixovall-refugio-de-claror,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-grp-andorra-etapa-01-aixovall-refugio-de-claror_es.pdf,11/11/2025
124,Andorra,Parroquia de Escaldes-Engordany,,,,,GRP - Etapa 2: Refugio de Claror - Refugio de l'Illa,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.",11 km,2.035,2.49,+775m / -525m,4:50h,,,https://www.rutaspirineos.org/rutas/grp-andorra-etapa-02-refugio-de-claror-refugio-de-illa,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-grp-andorra-etapa-02-refugio-de-claror-refugio-de-illa_es.pdf,11/11/2025
125,Andorra,Parroquia de Encamp,,,,,GRP - Etapa 3: Refugio de l'Illa - Bordes d'Envalira,Rutas por etapas y GRs,Alta (F),"Rutas de alta montaña en terreno poco abrupto en el que no hay grandes dificultades. Precisa algo de experiencia y de entrenamiento suficiente para este tipo de terrenos. Puede ser necesario usar las manos para guardar el equilibrio en algún momento puntual. Se trata de itinerarios bastante fáciles con pendientes suaves (máximo 30-35°). F (Fácil) es ya un grado de dificultad, no se trata de dificultad 0.","11,5 km",2.0,2.83,+450m / -950m,4:10h,,,https://www.rutaspirineos.org/rutas/grp-andorra-etapa-03-refugio-de-illa-bordes-envalira,D:\TFM\TFM-Arquitectura-RAG\TFM-Arquitectura-RAG\data\rutas_pdf\RUTAS-PIRINEOS-grp-andorra-etapa-03-refugio-de-illa-bordes-envalira_es.pdf,11/11/2025
